anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,7,Balcarce,6063,16,19,35
2020,8,Balcarce,6063,27,16,43
2020,9,Balcarce,6063,14,14,28
2020,10,Balcarce,6063,26,22,48
2020,11,Balcarce,6063,28,25,53
2020,12,Balcarce,6063,15,14,29
2020,1,Baradero,6070,11,12,23
2020,2,Baradero,6070,11,9,20
2020,3,Baradero,6070,16,12,28
2020,4,Baradero,6070,5,7,12
2020,5,Baradero,6070,6,11,17
2020,6,Baradero,6070,13,13,26
2020,7,Baradero,6070,22,20,42
2020,8,Baradero,6070,18,19,37
2020,9,Baradero,6070,17,16,33
2020,10,Baradero,6070,15,9,24
2020,11,Baradero,6070,15,19,34
2020,12,Baradero,6070,14,14,28
2020,1,Benito Juárez,6084,2,8,10
2020,2,Benito Juárez,6084,7,8,15
2020,3,Benito Juárez,6084,6,7,13
2020,4,Benito Juárez,6084,6,4,10
2020,5,Benito Juárez,6084,8,6,14
2020,6,Benito Juárez,6084,11,6,17
2020,7,Benito Juárez,6084,11,11,22
2020,8,Benito Juárez,6084,9,15,24
2020,9,Benito Juárez,6084,10,9,19
2020,10,Benito Juárez,6084,10,9,19
2020,11,Benito Juárez,6084,10,21,31
2020,12,Benito Juárez,6084,12,12,24
2020,1,Berazategui,6091,52,55,107
2020,2,Berazategui,6091,41,63,104
2020,3,Berazategui,6091,47,47,94
2020,4,Berazategui,6091,30,63,93
2020,5,Berazategui,6091,68,84,152
2020,6,Berazategui,6091,62,80,142
2020,7,Berazategui,6091,90,93,183
2020,8,Berazategui,6091,62,117,179
2020,9,Berazategui,6091,96,126,222
2020,10,Berazategui,6091,68,81,149
2020,11,Berazategui,6091,60,69,129
2020,12,Berazategui,6091,50,62,112
2020,1,Berisso,6098,17,24,41
2020,2,Berisso,6098,17,14,31
2020,3,Berisso,6098,18,19,37
2020,4,Berisso,6098,11,15,26
2020,5,Berisso,6098,12,23,35
2020,6,Berisso,6098,27,38,65
2020,7,Berisso,6098,33,16,49
